Date,Open,High,Low,Close
2018-08-01,43700,43950,43150,43300
2018-08-02,43400,43500,42550,42550
2018-08-03,42750,43150,42400,43050
2018-08-06,43050,43250,42800,43000
2018-08-07,42850,43250,42550,42650
2018-08-08,42700,43700,42650,43400
2018-08-09,43600,43650,42850,43100
2018-08-10,43050,43500,42550,43100
2018-08-13,42800,43050,42150,42550
2018-08-14,42600,43150,42200,43000
2018-08-16,41250,42900,41250,42650
2018-08-17,42650,42900,42200,42900
2018-08-20,43300,43350,42600,42800
2018-08-21,42500,43200,42250,42900
2018-08-22,42700,42700,42000,42150
2018-08-23,42150,42200,41400,41450
2018-08-24,41400,41850,41200,41800
2018-08-27,41900,43000,41900,42950
2018-08-28,42900,43550,42850,43300
2018-08-29,43050,43550,42800,43400
2018-08-30,43150,43500,43100,43300
2018-08-31,43500,43600,43300,43600
2018-09-03,43600,44000,43350,43900
2018-09-04,43900,44000,43600,43850
2018-09-05,43400,43600,42450,42450
2018-09-06,42450,42650,42100,42150
2018-09-07,42500,42500,41950,42200
2018-09-10,41750,42600,41700,42000
2018-09-11,41900,42400,41850,42050
2018-09-12,42400,42950,42300,42750
2018-09-13,43100,43450,42800,43200
2018-09-14,43200,43350,42700,42750
2018-09-17,42400,42800,42300,42650
2018-09-18,42250,42700,41850,42000
2018-09-19,41850,42300,41800,42250
2018-09-20,42350,43500,42350,43250
2018-09-21,43850,44450,43800,44200
2018-09-27,43350,44950,43300,44600
2018-09-28,44600,45150,44300,45000
2018-10-01,44750,45750,44700,45150
2018-10-02,44500,45550,44500,45350
2018-10-04,45550,46150,45400,45900
2018-10-05,46100,46450,45550,45850
2018-10-08,45900,46000,45550,45550
2018-10-10,46050,46400,45200,46150
2018-10-11,45250,45900,43650,43900
2018-10-12,44250,44250,42750,43250
2018-10-15,43350,44050,43050,43550
2018-10-16,43650,44300,43150,43200
2018-10-17,44000,44050,43350,43950
2018-10-18,43500,44100,43050,43600
2018-10-19,43350,43750,43150,43250
2018-10-22,43300,45050,43250,45000
2018-10-23,45900,45900,43550,43800
2018-10-24,44800,45300,43750,45150
2018-10-25,44800,44850,43500,44050
2018-10-26,43900,45300,43300,43550
2018-10-29,44150,44900,43900,44300
2018-10-30,44300,44300,42250,42350
2018-10-31,42000,42900,41800,42550
